Day fraction since midnight on 	pH probe (pH)	pH probe (pH)
0.6188710525	7.3230004311	7.1472997665
0.6188826195	7.3219780922	7.1462545395
0.6188942096	7.3185505867	7.1427502632
0.6189057766	7.3183679581	7.1425633430
0.6189173472	7.3172702789	7.1414408684
0.6189289142	7.3188161850	7.1430215836
0.6189405063	7.3166894913	7.1408476830
0.6189520732	7.3148107529	7.1389265060
0.6189636442	7.3093400002	7.1333332062
0.6189752131	7.3082189560	7.1321873665
0.6189867827	7.3092775345	7.1332697868
0.6189983764	7.3008618355	7.1246657372
0.6190099434	7.2951273918	7.1188030243
0.6190215104	7.2982101440	7.1219544411
0.6190330774	7.2894349098	7.1129827499
0.6190446674	7.2820692062	7.1054520607
0.6190562344	7.2775754929	7.1008582115
0.6190678014	7.2713890076	7.0945334435
0.6190793959	7.2709255219	7.0940594673
0.6190909647	7.2705392838	7.0936646461
0.6191025365	7.2614965439	7.0844192505
0.6191141056	7.2635693550	7.0865383148
0.6191256745	7.2641954422	7.0871787071
0.6191372646	7.2576708794	7.0805082321
0.6191488315	7.2477450371	7.0703601837
0.6191604005	7.2394042015	7.0618329048
0.6191719714	7.2396130562	7.0620465279
0.6191835615	7.2406821251	7.0631394386
0.6191951285	7.2373518944	7.0597348213
0.6192066977	7.2334218025	7.0557165146
0.6192182647	7.2343955040	7.0567116737
0.6192298548	7.2331748009	7.0554637909
0.6192414234	7.2320499420	7.0543136597
0.6192529904	7.2328772545	7.0551595688
0.6192645594	7.2318959236	7.0541567802
0.6192761495	7.2306642532	7.0528974533
0.6192877257	7.2288661003	7.0510587692
0.6192992999	7.2230563164	7.0451192856
0.6193108684	7.2253279686	7.0474414825
0.6193224353	7.2252721786	7.0473847389
0.6193340254	7.2216501236	7.0436816216
0.6193455968	7.2137703896	7.0356254578
0.6193571638	7.2086205482	7.0303602219
0.6193687327	7.2038426399	7.0254755020
0.6193803025	7.2078242302	7.0295462608
0.6193918926	7.2037549019	7.0253858566
0.6194034612	7.1990818977	7.0206079483
0.6194150297	7.1921563148	7.0135278702
0.6194265966	7.1931371689	7.0145306587
0.6194381867	7.1928620338	7.0142493248
0.6194497579	7.1912131310	7.0125637054
0.6194613249	7.1894607544	7.0107717514
0.6194729150	7.1892242432	7.0105299950
0.6194844844	7.1882338524	7.0095176697
0.6194960514	7.1871695518	7.0084290504
0.6195076233	7.1867861748	7.0080375671
0.6195191903	7.1870169640	7.0082731247
0.6195307804	7.1877641678	7.0090374947
0.6195423474	7.1855893135	7.0068140030
0.6195539143	7.1825885773	7.0037460327
0.6195654864	7.1834559441	7.0046324730
0.6195770786	7.1784520149	6.9995307922
0.6195886493	7.1668472290	6.9880056381
0.6196002162	7.1753010750	6.9964013100
0.6196117832	7.1669592857	6.9881172180
0.6196233733	7.1682600975	6.9894084930
0.6196349403	7.1666312218	6.9877910614
0.6196465072	7.1647791862	6.9859519005
0.6196580973	7.1551523209	6.9763913155
0.6196696729	7.1548943520	6.9761347771
0.6196812452	7.1501684189	6.9714412689
0.6196928145	7.1419048309	6.9632344246
0.6197043815	7.1432437897	6.9645643234
0.6197159715	7.1416659355	6.9629974365
0.6197275424	7.1456713676	6.9669752121
0.6197391094	7.1400380135	6.9613804817
0.6197506764	7.1353597641	6.9567346573
0.6197622681	7.1298260689	6.9512386322
0.6197738392	7.1260275841	6.9474663734
0.6197854164	7.1232857704	6.9447431564
0.6197969858	7.1258773804	6.9473171234
0.6198085572	7.1247138977	6.9461612701
0.6198201290	7.1245770454	6.9460258484
0.6198316980	7.1199636459	6.9414439201
0.6198432650	7.1193866730	6.9408712387
0.6198548551	7.1170792580	6.9385790825
0.6198664236	7.1136593819	6.9351830482
0.6198779932	7.1178374290	6.9393324852
0.6198895618	7.1072669029	6.9288349152
0.6199011539	7.1055908203	6.9271697998
0.6199127229	7.1046490669	6.9262347221
0.6199242899	7.1029653549	6.9245629311
0.6199358800	7.1002802849	6.9218959808
0.6199474469	7.0967116356	6.9183516502
0.6199590178	7.0985856056	6.9202132225
0.6199705867	7.0976033211	6.9192376137
0.6199821537	7.0980134010	6.9196443558
0.6199937465	7.0941352844	6.9157929420
0.6200053202	7.0908432007	6.9125237465
0.6200169103	7.0902295113	6.9119143486
0.6200284580	7.0860199928	6.9077339172
0.6200400250	7.0872511864	6.9089565277
0.6200516172	7.0770654678	6.8988409042
0.6200631882	7.0731768608	6.8949785233
0.6200747552	7.0674347878	6.8892760277
0.6200863452	7.0701022148	6.8919253349
0.6200979122	7.0636086464	6.8854761124
0.6201094813	7.0606050491	6.8824930191
0.6201210482	7.0595617294	6.8814573288
0.6201326384	7.0597600937	6.8816542625
0.6201442053	7.0582036972	6.8801088333
0.6201557972	7.0580129623	6.8799190521
0.6201673410	7.0580277443	6.8799333572
0.6201789333	7.0573387146	6.8792495728
0.6201905024	7.0582828522	6.8801870346
0.6202020722	7.0568251610	6.8787393570
0.6202136392	7.0565471649	6.8784632683
0.6202252292	7.0559644699	6.8778848648
0.6202368006	7.0523066521	6.8742523193
0.6202483676	7.0513982773	6.8733496666
0.6202599369	7.0523400307	6.8742852211
0.6202715270	7.0513033867	6.8732557297
0.6202830940	7.0494947433	6.8714594841
0.6202946610	7.0469307899	6.8689131737
0.6203062511	7.0459995270	6.8679881096
0.6203178180	7.0378193855	6.8598642349
0.6203293869	7.0367794037	6.8588314056
0.6203409539	7.0342020988	6.8562717438
0.6203525440	7.0331268311	6.8552041054
0.6203641157	7.0311322212	6.8532228470
0.6203756867	7.0299334526	6.8520321846
0.6203872562	7.0286788940	6.8507866859
0.6203988251	7.0249781609	6.8471112251
0.6204104152	7.0179467201	6.8401284218
0.6204219851	7.0172629356	6.8394494057
0.6204335542	7.0160326958	6.8382272720
0.6204451212	7.0153436661	6.8375430107
0.6204567133	7.0103302002	6.8325638771
0.6204682802	7.0123186111	6.8345389366
0.6204798495	7.0125422478	6.8347611427
0.6204914165	7.0129618645	6.8351774216
0.6205030087	7.0100822449	6.8323178291
0.6205145757	7.0117931366	6.8340167999
0.6205261426	7.0107312202	6.8329620361
0.6205377159	7.0065298080	6.8287897110
0.6205492865	6.9981498718	6.8204674721
0.6205608782	6.9985489845	6.8208637238
0.6205724473	6.9944367409	6.8167796135
0.6205840142	6.9971232414	6.8194475174
0.6205955812	6.9886546135	6.8110370636
0.6206071713	6.9863662720	6.8087649345
0.6206187383	6.9878740311	6.8102622032
0.6206303091	6.9842624664	6.8066754341
0.6206418992	6.9757666588	6.7982378006
0.6206534678	6.9765377045	6.7990036011
0.6206650348	6.9750390053	6.7975153923
0.6206766017	6.9742393494	6.7967209816
0.6206881938	6.9736232758	6.7961091995
0.6206997608	6.9725594521	6.7950525284
0.6207113315	6.9718708992	6.7943692207
0.6207228985	6.9695787430	6.7920928001
0.6207344929	6.9706544876	6.7931604385
0.6207460621	6.9699168205	6.7924280167
0.6207576312	6.9695353508	6.7920494080
0.6207691982	6.9685783386	6.7910990715
0.6207807709	6.9665441513	6.7890787125
0.6207923610	6.9660406113	6.7885785103
0.6208039280	6.9691276550	6.7916445732
0.6208154975	6.9654860497	6.7880277634
0.6208270645	6.9644083977	6.7869577408
0.6208386546	6.9600138664	6.7825937271
0.6208502215	6.9535403252	6.7761640549
0.6208617885	6.9503540993	6.7729997635
0.6208733786	6.9457173347	6.7683949471
0.6208849456	6.9422059059	6.7649078369
0.6208965125	6.9340872765	6.7568445206
0.6209081027	6.9321126938	6.7548837662
0.6209196696	6.9279050827	6.7507052422
0.6209312366	6.9306049347	6.7533860207
0.6209428054	6.9264626503	6.7492728233
0.6209543975	6.9240775108	6.7469038963
0.6209659681	6.9220190048	6.7448596954
0.6209775367	6.9186115265	6.7414751053
0.6209891055	6.9225120544	6.7453489304
0.6210006756	6.9089050293	6.7318358421
0.6210122698	6.9115643501	6.7344765663
0.6210238407	6.9093718529	6.7322993279
0.6210354100	6.9037637711	6.7267293930
0.6210469795	6.9045171738	6.7274775505
0.6210585465	6.9021782875	6.7251553535
0.6210701366	6.8978743553	6.7208809853
0.6210817054	6.8993921280	6.7223882675
0.6210932766	6.9034266472	6.7263951302
0.6211048458	6.9049544334	6.7279124260
0.6211164359	6.8952655792	6.7182898521
0.6211280028	6.8911986351	6.7142510414
0.6211395698	6.8972463608	6.7202572823
0.6211511599	6.8970680237	6.7200798988
0.6211627292	6.8878164291	6.7108917236
0.6211742961	6.8862624168	6.7093486786
0.6211858647	6.8847203255	6.7078170776
0.6211974572	6.8849239349	6.7080192566
0.6212090281	6.8843750954	6.7074742317
0.6212205951	6.8833727837	6.7064785957
0.6212321640	6.8836445808	6.7067489624
0.6212437562	6.8832840919	6.7063908577
0.6212553249	6.8830752373	6.7061829567
0.6212668938	6.8828601837	6.7059698105
0.6212784608	6.8822383881	6.7053518295
0.6212900299	6.8792181015	6.7023525238
0.6213016230	6.8783979416	6.7015380859
0.6213131900	6.8763928413	6.6995468140
0.6213247585	6.8772468567	6.7003946304
0.6213363255	6.8791761398	6.7023110390
0.6213479156	6.8685016632	6.6917099953
0.6213594868	6.8647112846	6.6879453659
0.6213710555	6.8619732857	6.6852264404
0.6213826241	6.8616967201	6.6849517822
0.6213942165	6.8578972816	6.6811785698
0.6214057835	6.8529939651	6.6763086319
0.6214173505	6.8504514694	6.6737837791
0.6214289406	6.8499822617	6.6733174324
0.6214405075	6.8519587517	6.6752805710
0.6214520763	6.8455147743	6.6688809395
0.6214636461	6.8427901268	6.6661753654
0.6214752131	6.8452429771	6.6686110497
0.6214868032	6.8409652710	6.6643629074
0.6214983761	6.8379735947	6.6613917351
0.6215099431	6.8384885788	6.6619029045
0.6215215101	6.8383526802	6.6617679596
0.6215331024	6.8356080055	6.6590423584
0.6215446715	6.8353700638	6.6588058472
0.6215562385	6.8334894180	6.6569385529
0.6215678082	6.8310232162	6.6544890404
0.6215793983	6.8329606056	6.6564130783
0.6215909884	6.8243260384	6.6478376389
0.6216025322	6.8256506920	6.6491532326
0.6216141242	6.8249130249	6.6484208107
0.6216256912	6.8246698380	6.6481790543
0.6216372620	6.8204627037	6.6440010071
0.6216488333	6.8173499107	6.6409096718
0.6216604033	6.8157138824	6.6392850876
0.6216719726	6.8096823692	6.6332950592
0.6216835628	6.8090248108	6.6326417923
0.6216951317	6.8053851128	6.6290268898
0.6217067025	6.8020381927	6.6257033348
0.6217182695	6.8022246361	6.6258878708
0.6217298596	6.7974438667	6.6211400032
0.6217414292	6.7959260941	6.6196327209
0.6217529962	6.7970247269	6.6207242012
0.6217645863	6.7945466042	6.6182627678
0.6217761553	6.7951054573	6.6188178062
0.6217877223	6.7972264290	6.6209244728
0.6217992913	6.7945814133	6.6182975769
0.6218108832	6.7954874039	6.6191973686
0.6218224502	6.8000798225	6.6237583160
0.6218340198	6.7880206108	6.6117815971
0.6218455867	6.7848281860	6.6086115837
0.6218571768	6.7783432007	6.6021709442
0.6218687463	6.7745122910	6.5983662605
0.6218803165	6.7739167213	6.5977745056
0.6218918896	6.7699422836	6.5938277245
0.6219034566	6.7612175941	6.5851631165
0.6219150490	6.7604417801	6.5843925476
0.6219266215	6.7577576637	6.5817265511
0.6219381909	6.7545790672	6.5785703659
0.6219497600	6.7546377182	6.5786280632
0.6219613346	6.7521419525	6.5761494637
0.6219729015	6.7546882629	6.5786786079
0.6219844953	6.7534232140	6.5774221420
0.6219960623	6.7531914711	6.5771923065
0.6220076319	6.7502517700	6.5742726326
0.6220191989	6.7486071587	6.5726394653
0.6220307890	6.7481584549	6.5721936226
0.6220423559	6.7418665886	6.5659446716
0.6220539229	6.7437605858	6.5678262711
0.6220655154	6.7407660484	6.5648522377
0.6220770840	6.7366185188	6.5607328415
0.6220886555	6.7351799011	6.5593042374
0.6221002264	6.7273826599	6.5515604019
0.6221117952	6.7201809883	6.5444083214
0.6221233641	6.7216243744	6.5458416939
0.6221349542	6.7270765305	6.5512566566
0.6221465212	6.7194452286	6.5436778069
0.6221580910	6.7163834572	6.5406370163
0.6221696811	6.7161550522	6.5404100418
0.6221812507	6.7141017914	6.5383706093
0.6221928177	6.7136349678	6.5379071236
0.6222043847	6.7135691643	6.5378422737
0.6222159748	6.7130680084	6.5373444557
0.6222275417	6.7126264572	6.5369057655
0.6222391110	6.7145028114	6.5387692451
0.6222506779	6.7107157707	6.5350079536
0.6222622701	6.7103018761	6.5345969200
0.6222738387	6.7095470428	6.5338473320
0.6222854057	6.7099184990	6.5342164040
0.6222969957	6.7097043991	6.5340037346
0.6223085644	6.7099976540	6.5342946053
0.6223201314	6.7088050842	6.5331106186
0.6223317015	6.7087054253	6.5330114365
0.6223432916	6.7048602104	6.5291929245
0.6223548586	6.7036476135	6.5279889107
0.6223664255	6.7006392479	6.5250005722
0.6223779952	6.7012376785	6.5255951881
0.6223895853	6.7010068893	6.5253658295
0.6224011541	6.6892156601	6.5136561394
0.6224127231	6.6849002838	6.5093703270
0.6224242901	6.6835465431	6.5080256462
0.6224358802	6.6811838150	6.5056791306
0.6224474472	6.6795868874	6.5040931702
0.6224590141	6.6811051369	6.5056009293
0.6224706042	6.6788883209	6.5033993721
0.6224821728	6.6716651917	6.4962258339
0.6224937397	6.6759548187	6.5004858971
0.6225053090	6.6703000069	6.4948701859
0.6225169040	6.6680879593	6.4926733971
0.6225284754	6.6670074463	6.4916005135
0.6225400453	6.6649899483	6.4895963669
0.6225516123	6.6642813683	6.4888930321
0.6225631792	6.6628012657	6.4874229431
0.6225747718	6.6615772247	6.4862070084
0.6225863388	6.6630039215	6.4876241684
0.6225979058	6.6601190567	6.4847593307
0.6226094959	6.6584992409	6.4831504822
0.6226210697	6.6553997993	6.4800720215
0.6226326404	6.6521735191	6.4768681526
0.6226442090	6.6513953209	6.4760951996
0.6226557760	6.6510319710	6.4757342339
0.6226673684	6.6480140686	6.4727373123
0.6226789353	6.6416087151	6.4663763046
0.6226905023	6.6431746483	6.4679312706
0.6227020693	6.6367049217	6.4615058899
0.6227136613	6.6370015144	6.4618005753
0.6227252282	6.6339354515	6.4587554932
0.6227367977	6.6385297775	6.4633183479
0.6227483668	6.6299366951	6.4547843933
0.6227599569	6.6306610107	6.4555034637
0.6227715239	6.6286034584	6.4534602165
0.6227830909	6.6317281723	6.4565634727
0.6227946608	6.6276154518	6.4524788857
0.6228062509	6.6390109062	6.4637961388
0.6228178217	6.6289629936	6.4538168907
0.6228293887	6.6254591942	6.4503374100
0.6228409580	6.6239361763	6.4488248825
0.6228525504	6.6220397949	6.4469413757
0.6228641174	6.6205286980	6.4454407692
0.6228756862	6.6203408241	6.4452538490
0.6228872763	6.6165952682	6.4415340424
0.6228988458	6.6185154915	6.4434413910
0.6229104150	6.6156044006	6.4405503273
0.6229219845	6.6065649986	6.4315729141
0.6229335515	6.6096730232	6.4346594810
0.6229451432	6.6019101143	6.4269499779
0.6229567126	6.5996160507	6.4246716499
0.6229682795	6.5977916718	6.4228601456
0.6229798491	6.5980973244	6.4231638908
0.6229914392	6.5944156647	6.4195070267
0.6230030062	6.5849022865	6.4100589752
0.6230145732	6.5809278488	6.4061121941
0.6230261633	6.5867009163	6.4118452072
0.6230377320	6.5826549530	6.4078273773
0.6230493016	6.5840530396	6.4092154503
0.6230608727	6.5777759552	6.4029817581
0.6230724397	6.5750198364	6.4002447128
0.6230840356	6.5700540543	6.3953127861
0.6230956052	6.5676064491	6.3928818703
0.6231071722	6.5691866875	6.3944516182
0.6231187419	6.5572280884	6.3825750351
0.6231303320	6.5582308769	6.3835706711
0.6231418990	6.5610036850	6.3863244057
0.6231534659	6.5550141335	6.3803763390
0.6231650329	6.5467243195	6.3721432686
0.6231766230	6.5464406013	6.3718619347
0.6231881951	6.5427970886	6.3682432175
0.6231997621	6.5393514633	6.3648214340
0.6232113290	6.5415754318	6.3670301437
0.6232229191	6.5388674736	6.3643407822
0.6232344885	6.5389218330	6.3643946648
0.6232460554	6.5387520790	6.3642258644
0.6232576456	6.5367131233	6.3622012138
0.6232692143	6.5346736908	6.3601756096
0.6232807830	6.5339922905	6.3594989777
0.6232923500	6.5351061821	6.3606047630
0.6233039401	6.5326519012	6.3581676483
0.6233155071	6.5340199471	6.3595261574
0.6233271040	6.5316567421	6.3571791649
0.6233386502	6.5289363861	6.3544778824
0.6233502403	6.5265688896	6.3521265984
0.6233618112	6.5273041725	6.3528566360
0.6233733808	6.5229554176	6.3485379219
0.6233849497	6.5217185020	6.3473095894
0.6233965167	6.5206108093	6.3462095261
0.6234081087	6.5177197456	6.3433380127
0.6234196803	6.5173368454	6.3429579735
0.6234312472	6.5179123878	6.3435292244
0.6234428165	6.5235581398	6.3491368294
0.6234544066	6.5133280754	6.3389768600
0.6234659736	6.5029397011	6.3286600113
0.6234775432	6.4996933937	6.3254361153
0.6234891101	6.5004177094	6.3261551857
0.6235007002	6.4967184067	6.3224811554
0.6235122730	6.4947776794	6.3205537796
0.6235238426	6.4956459999	6.3214163780
0.6235354096	6.4920001030	6.3177952766
0.6235469997	6.4921417236	6.3179359436
0.6235585667	6.4919090271	6.3177051544
0.6235701388	6.4924325943	6.3182249069
0.6235817075	6.4919071198	6.3177027702
0.6235932782	6.4910621643	6.3168640137
0.6236048702	6.4892506599	6.3150649071
0.6236164394	6.4887132645	6.3145308495
0.6236280102	6.4875073433	6.3133335114
0.6236395772	6.4883804321	6.3142004013
0.6236511466	6.4856286049	6.3114676476
0.6236627367	6.4797697067	6.3056488037
0.6236743062	6.4759068489	6.3018126488
0.6236858731	6.4725837708	6.2985124588
0.6236974632	6.4721293449	6.2980608940
0.6237090302	6.4714856148	6.2974219322
0.6237205989	6.4696264267	6.2955751419
0.6237321659	6.4636011124	6.2895913124
0.6237437560	6.4603466988	6.2863593102
0.6237553230	6.4574556351	6.2834882736
0.6237668899	6.4549469948	6.2809967995
0.6237784819	6.4509859085	6.2770628929
0.6237900507	6.4509620667	6.2770390511
0.6238016176	6.4495778084	6.2756643295
0.6238131846	6.4449748993	6.2710933685
0.6238247747	6.4423241615	6.2684607506
0.6238363456	6.4395651817	6.2657203674
0.6238479152	6.4410243034	6.2671699524
0.6238594822	6.4393835068	6.2655401230
0.6238710723	6.4369940758	6.2631673813
0.6238826393	6.4256176949	6.2518692017
0.6238942084	6.4266715050	6.2529158592
0.6239057754	6.4275188446	6.2537570000
0.6239173655	6.4232568741	6.2495245934
0.6239289365	6.4167070389	6.2430195808
0.6239405034	6.4116950035	6.2380423546
0.6239520935	6.4085922241	6.2349605560
0.6239636605	6.4084134102	6.2347831726
0.6239752295	6.4079675674	6.2343401909
0.6239868196	6.4071960449	6.2335739136
0.6239983866	6.4067187309	6.2330999374
0.6240099554	6.4058089256	6.2321963310
0.6240215224	6.4030089378	6.2294154167
0.6240331125	6.4035167694	6.2299199104
0.6240446832	6.3983106613	6.2247495651
0.6240562531	6.3985719681	6.2250089645
0.6240678201	6.4010801315	6.2274999619
0.6240793901	6.3977265358	6.2241692543
0.6240909802	6.3923387527	6.2188191414
0.6241025472	6.3901219368	6.2166175842
0.6241141202	6.3849873543	6.2115178108
0.6241256871	6.3892316818	6.2157330513
0.6241372772	6.3871059418	6.2136220932
0.6241488474	6.3835434914	6.2100839615
0.6241604168	6.3748259544	6.2014265060
0.6241719838	6.3705549240	6.1971845627
0.6241835739	6.3669867516	6.1936407089
0.6241951430	6.3652715683	6.1919374466
0.6242067099	6.3655519485	6.1922159195
0.6242182769	6.3681797981	6.1948256493
0.6242298670	6.3602561951	6.1869564056
0.6242414340	6.3633036613	6.1899828911
0.6242530031	6.3628668785	6.1895494461
0.6242645932	6.3684740067	6.1951179504
0.6242761622	6.3623986244	6.1890845299
0.6242877291	6.3630585670	6.1897397041
0.6242992961	6.3622665405	6.1889533997
0.6243108862	6.3594579697	6.1861639023
0.6243224532	6.3605575562	6.1872558594
0.6243340201	6.3592581749	6.1859655380
0.6243456102	6.3575410843	6.1842603683
0.6243571805	6.3500614166	6.1768317223
0.6243687474	6.3525738716	6.1793270111
0.6243803144	6.3504152298	6.1771831512
0.6243919045	6.3461680412	6.1729655266
0.6244034715	6.3426585197	6.1694798470
0.6244150384	6.3428564072	6.1696763039
0.6244266307	6.3405895233	6.1674251556
0.6244381977	6.3384237289	6.1652741432
0.6244497685	6.3815569878	6.2081108093
0.6244613394	6.3290104866	6.1559257507
0.6244729064	6.3284907341	6.1554093361
0.6244844964	6.3328080177	6.1596970558
0.6244960634	6.3394370079	6.1662802696
0.6245076304	6.3353729248	6.1622443199
0.6245192225	6.3330125809	6.1599001884
0.6245307894	6.3362312317	6.1630969048
0.6245423795	6.3300766945	6.1569848061
0.6245539252	6.3271136284	6.1540417671
0.6245655153	6.3181529045	6.1451425552
0.6245770864	6.3163824081	6.1433844566
0.6245886533	6.3145475388	6.1415619850
0.6246002434	6.3082714081	6.1353292465
0.6246118120	6.3116130829	6.1386475563
0.6246233831	6.3117146492	6.1387486458
0.6246349500	6.2994141579	6.1265325546
0.6246465401	6.2945475578	6.1216998100
0.6246581071	6.2904596329	6.1176395416
0.6246696994	6.2867345810	6.1139402390
0.6246812432	6.2885937691	6.1157865524
0.6246928333	6.2852249146	6.1124410629
0.6247044003	6.2847976685	6.1120162010
0.6247159673	6.2816619873	6.1089024544
0.6247275574	6.2774381638	6.1047077179
0.6247391244	6.2762064934	6.1034841537
0.6247506913	6.2761816978	6.1034598351
0.6247622602	6.2736439705	6.1009392738
0.6247738504	6.2730846405	6.1003842354
0.6247854173	6.2735390663	6.1008353233
0.6247969843	6.2695727348	6.0968961716
0.6248085744	6.2693033218	6.0966286659
0.6248201433	6.2669048309	6.0942463875
0.6248317103	6.2667202950	6.0940632820
0.6248432773	6.2676844597	6.0950207710
0.6248548693	6.2652311325	6.0925846100
0.6248664382	6.2653560638	6.0927085876
0.6248780079	6.2561516762	6.0835676193
0.6248895791	6.2595744133	6.0869669914
0.6249011692	6.2581548691	6.0855565071
0.6249127361	6.2515587807	6.0790061951
0.6249243031	6.2412409782	6.0687589645
0.6249358725	6.2371397018	6.0646862984
0.6249474626	6.2375965118	6.0651397705
0.6249590296	6.2373089790	6.0648541451
0.6249706000	6.2302546501	6.0578484535
0.6249821696	6.2279973030	6.0556063652
0.6249937597	6.2252521515	6.0528802872
0.6250053295	6.2225899696	6.0502362251
0.6250168965	6.2208256721	6.0484843254
0.6250284635	6.2165594101	6.0442471504
0.6250400576	6.2078924179	6.0356397629
0.6250516246	6.2025828362	6.0303668976
0.6250631915	6.2072300911	6.0349817276
0.6250747816	6.2008519173	6.0286478996
0.6250863486	6.1932258606	6.0210738182
0.6250979173	6.1938810349	6.0217247009
0.6251094867	6.1949748993	6.0228109360
0.6251210767	6.1943955421	6.0222353935
0.6251326305	6.1924767494	6.0203299522
0.6251442226	6.1905884743	6.0184545517
0.6251557896	6.1890716553	6.0169482231
0.6251673566	6.1897912025	6.0176625252
0.6251789467	6.1883754730	6.0162568092
0.6251905184	6.1882104874	6.0160927773
0.6252020854	6.1888213158	6.0166997910
0.6252136549	6.1881427765	6.0160255432
0.6252252450	6.1871128082	6.0150032043
0.6252368120	6.1870565414	6.0149469376
0.6252483874	6.1864724159	6.0143666267
0.6252599608	6.1858229637	6.0137219429
0.6252715307	6.1857476234	6.0136470795
0.6252830976	6.1847548485	6.0126614571
0.6252946877	6.1847553253	6.0126619339
0.6253062601	6.1818633080	6.0097894669
0.6253178270	6.1734528542	6.0014371872
0.6253293967	6.1724171638	6.0004081726
0.6253409661	6.1751217842	6.0030941963
0.6253525562	6.1675848961	5.9956092834
0.6253641254	6.1608791351	5.9889497757
0.6253756947	6.1549649239	5.9830760956
0.6253872616	6.1534190178	5.9815406799
0.6253988517	6.1509327888	5.9790716171
0.6254104187	6.1492447853	5.9773950577
0.6254219884	6.1481108665	5.9762692451
